20702|Bagua|bagua|-5.639|-78.5319|1|24|25
20703|Jumbilla|jumbilla|-5.90411|-77.7982|1|31|\N
20704|Chachapoyas|chachapoyas|-6.22912|-77.8726|1|2|\N
20705|Santa María de Nievas|santa-maria-de-nievas|-4.59694|-77.8626|1|81|\N
20706|Lámud|lamud|-6.16467|-77.9448|1|44|\N
20707|Mendoza|mendoza|-6.39698|-77.4807|1|68|69
20708|Bagua Grande|bagua-grande|-5.75448|-78.4419|1|85|\N
20709|Aija|aija|-9.78022|-77.6108|93|107|\N
20710|Llamellín|llamellin|-9.10104|-77.0168|93|249|\N
20711|Chacas|chacas|-9.16296|-77.3665|93|2401|\N
20712|Chiquián|chiquian|-10.1512|-77.1571|93|2402|114
20713|Carhuaz|carhuaz|-9.28176|-77.6462|93|129|\N
20714|San Luis|san-luis|-9.09485|-77.3287|93|256|\N
20715|Casma|casma|-9.47598|-78.3056|93|141|142
20716|Corongo|corongo|-9.09527|-77.329|93|146|147
20717|Huaraz|huaraz|-9.53008|-77.5289|93|94|\N
20718|Huari|huari|-9.34955|-77.1733|93|165|\N
20719|Huarmey|huarmey|-10.0688|-78.1522|93|263|\N
20720|Caraz|caraz|-9.04853|-77.81|93|154|\N
20721|Piscobamba|piscobamba|-8.86539|-77.3575|93|182|\N
20722|Ocros|ocros|-10.4039|-77.3969|93|269|276
20723|Cabana|cabana|-8.39289|-78.0091|93|191|\N
20724|Pomabamba|pomabamba|-8.82053|-77.4604|93|203|\N
20725|Recuay|recuay|-9.72206|-77.4561|93|208|\N
20726|Chimbote|chimbote|-9.07455|-78.5936|93|219|\N
20727|Sihuas|sihuas|-8.55586|-77.6306|93|229|\N
20728|Yungay|yungay|-8.55565|-77.6307|93|240|\N
20729|Abancay|abancay|-13.6373|-72.8789|280|281|\N
20730|Andahuaylas|andahuaylas|-13.6564|-73.39|280|309|\N
20731|Antabamba|antabamba|-14.3649|-72.8775|280|329|\N
20732|Chalhuanca|chalhuanca|-14.2947|-73.2441|280|291|\N
20733|Chincheros|chincheros|-13.518|-73.7235|280|359|\N
20734|Tambobamba|tambobamba|-13.9463|-72.1744|280|337|\N
20735|Chuquibambilla|chuquibambilla|-14.1053|-72.7076|280|344|\N
20736|Arequipa|arequipa|-16.3988|-71.5369|368|369|\N
20737|Camaná|camana|-16.6249|-72.7116|368|420|\N
20738|Caravelí|caraveli|-15.7722|-73.3655|368|429|\N
20739|Aplao|aplao|-16.0765|-72.4921|368|443|\N
20740|Chivay|chivay|-15.6367|-71.6021|368|399|\N
20741|Chuquibamba|chuquibamba|-15.8392|-72.6515|368|458|\N
20742|Mollendo|mollendo|-17.0304|-72.0148|368|467|\N
20743|Cotahuasi|cotahuasi|-15.2106|-72.8928|368|474|475
20744|Cangallo|cangallo|-13.6294|-74.1436|486|503|\N
20745|Ayacucho|ayacucho|-13.1604|-74.2258|486|487|\N
20746|Huanca Sancos|huanca-sancos|-13.92|-74.334|486|573|577
20747|Huanta|huanta|-12.9386|-74.2476|486|510|\N
20748|San Miguel|san-miguel|-13.0126|-73.9811|486|519|\N
20749|Puquio|puquio|-14.694|-74.1242|486|529|\N
20750|Coracora|coracora|-15.017|-73.78|486|551|\N
20751|Pausa|pausa|-15.2789|-73.3444|486|587|588
20752|Querobamba|querobamba|-14.0113|-73.8388|486|598|599
20753|Huancapi|huancapi|-13.7526|-74.0664|486|560|\N
20754|Vilcashuamán|vilcashuaman|-13.6531|-73.954|486|2403|\N
20755|Cajabamba|cajabamba|-7.62373|-78.046|610|624|625
20756|Cajamarca|cajamarca|-7.15704|-78.5175|610|611|\N
20757|Celendín|celendin|-6.86551|-78.1455|610|629|\N
20758|Chota|chota|-6.56107|-78.6507|610|667|\N
20759|Contumazá|contumaza|-7.36632|-78.805|610|642|643
20760|Cutervo|cutervo|-6.37736|-78.8183|610|651|652
20761|Bambamarca|bambamarca|-6.68106|-78.5214|610|687|688
20762|Jaén|jaen|-5.70876|-78.8077|610|691|\N
20763|San Ignacio|san-ignacio|-5.14637|-79.0024|610|730|\N
20764|San Marcos|san-marcos|-7.33565|-78.1697|610|738|\N
20765|San Miguel de Pallaques|san-miguel-de-pallaques|-7.00035|-78.8514|610|716|\N
20766|San Pablo|san-pablo|-7.11278|-78.8208|610|746|\N
20767|Santa Cruz de Succhabamba|santa-cruz-de-succhabamba|-6.71175|-78.9363|610|704|\N
20768|Callao|callao|-12.0629|-77.149|2406|2404|\N
20769|Acomayo|acomayo|-13.9193|-71.6833|751|761|\N
20770|Anta|anta|-13.4794|-72.1114|751|769|\N
20771|Calca|calca|-13.3218|-71.9561|751|779|\N
20772|Yanaoca|yanaoca|-14.2172|-71.432|751|788|789
20773|Sicuani|sicuani|-14.272|-71.2268|751|797|\N
20774|Santo Tomás|santo-tomas|-14.4502|-72.0818|751|806|\N
20775|Cusco|cusco|-13.5168|-71.9788|751|752|\N
20776|Espinar|espinar|-14.793|-71.4126|751|815|\N
20777|Quillabamba|quillabamba|-12.8634|-72.6929|751|824|825
20778|Paruro|paruro|-13.7614|-71.8473|751|835|\N
20779|Paucartambo|paucartambo|-13.3173|-71.5969|751|845|\N
20780|Urcos|urcos|-13.6856|-71.623|751|852|\N
20781|Urubamba|urubamba|-13.3061|-72.116|751|865|\N
20782|Acobamba|acobamba|-12.8424|-74.5693|873|894|895
20783|Lircay|lircay|-12.9897|-74.7205|873|903|\N
20784|Castrovirreyna|castrovirreyna|-13.2834|-75.3191|873|916|917
20785|Churcampa|churcampa|-12.7374|-74.4316|873|964|965
20786|Huancavelica|huancavelica|-12.7872|-74.9731|873|874|\N
20787|Huaytará|huaytara|-13.6045|-75.3531|873|947|\N
20788|Pampas|pampas|-12.3986|-74.8683|873|930|\N
20789|Ambo|ambo|-10.1293|-76.2045|976|990|\N
20790|La Unión|la-union|-9.77012|-76.7847|976|999|1000
20791|Huacaybamba|huacaybamba|-9.0953|-76.8367|976|1043|1044
20792|Llata|llata|-9.55036|-76.8156|976|1009|\N
20793|Huánuco|huanuco|-9.92947|-76.2397|976|977|\N
20794|Jesús|jesus|-10.0336|-76.582|976|1048|1049
20795|Tingo María|tingo-maria|-9.29841|-76.0003|976|1025|1026
20796|Huacrachuco|huacrachuco|-8.63964|-77.0687|976|1021|1022
20797|Panao|panao|-9.89849|-75.9939|976|1032|\N
20798|Puerto Inca|puerto-inca|-9.37717|-74.9649|976|1037|\N
20799|Chavinillo|chavinillo|-9.78138|-76.5827|976|1056|1057
20800|Chincha Alta|chincha-alta|-13.4176|-76.1326|1065|1081|\N
20801|Ica|ica|-14.064|-75.7291|1065|1066|\N
20802|Nazca|nazca|-14.8277|-74.9371|1065|1093|\N
20803|Palpa|palpa|-14.5337|-75.1852|1065|1108|\N
20804|Pisco|pisco|-13.71|-76.2031|1065|1099|\N
20805|La Merced|la-merced|-11.0623|-75.3351|1114|1230|1231
20806|Chupaca|chupaca|-12.0618|-75.2877|1114|1237|\N
20807|Concepción|concepcion|-11.9186|-75.3129|1114|1144|\N
20808|Huancayo|huancayo|-12.0681|-75.2101|1114|1115|1116
20809|Jauja|jauja|-11.7753|-75.5|1114|1160|\N
20810|Junín|junin|-11.1616|-75.9982|1114|1195|\N
20811|Satipo|satipo|-11.254|-74.6366|1114|1221|\N
20812|Tarma|tarma|-11.4201|-75.6876|1114|1200|\N
20813|La Oroya|la-oroya|-11.5163|-75.8999|1114|1210|\N
20814|Ascope|ascope|-7.71383|-79.1074|1247|1316|1317
20815|Bolívar|bolivar|-7.15406|-77.7012|1247|1260|\N
20816|Chepén|chepen|-7.22718|-79.4298|1247|1325|\N
20817|Cascas|cascas|-7.47948|-78.8194|1247|1334|\N
20818|Julcán|julcan|-8.04261|-78.4867|1247|1329|1330
20819|Otuzco|otuzco|-7.90254|-78.5656|1247|1276|\N
20820|San Pedro de Lloc|san-pedro-de-lloc|-7.43199|-79.5043|1247|1287|\N
20821|Tayabamba|tayabamba|-8.27731|-77.2965|1247|1293|1294
20822|Huamachuco|huamachuco|-7.81209|-78.0488|1247|1267|\N
20823|Santiago de Chuco|santiago-de-chuco|-8.15308|-78.1771|1247|1307|1308
20824|Trujillo|trujillo|-8.11185|-79.0287|1247|1248|\N
20825|Virú|viru|-8.41434|-78.7524|1247|1339|1340
20826|Chiclayo|chiclayo|-6.76034|-79.835|1343|1344|\N
20827|Ferreñafe|ferrenafe|-6.63918|-79.788|1343|1365|\N
20828|Lambayeque|lambayeque|-6.70408|-79.9062|1343|1372|\N
20829|Barranca|barranca|-10.7541|-77.7608|1385|1554|\N
20830|Cajatambo|cajatambo|-10.473|-76.9928|1385|1430|\N
20831|San Vicente de Cañete|san-vicente-de-canete|-13.0778|-76.3874|1385|1444|1445
20832|Canta|canta|-11.467|-76.6247|1385|1436|\N
20833|Huaral|huaral|-11.4954|-77.2072|1385|1541|\N
20834|Matucana|matucana|-11.8447|-76.3861|1385|1474|1475
20835|Huacho|huacho|-11.1085|-77.6104|1385|1461|1462
20836|Lima|lima|-12.046|-77.0307|1385|1386|\N
20837|Oyón|oyon|-10.6681|-76.7732|1385|1560|\N
20838|Yauyos|yauyos|-12.464|-75.9232|1385|1507|1508
20839|Yurimaguas|yurimaguas|-5.89527|-76.1044|1567|1582|\N
20840|San Lorenzo|san-lorenzo|-5.91698|-76.167|1567|1619|\N
20841|Nauta|nauta|-4.50812|-73.579|1567|1589|\N
